ACTA_NUMERO|CAUSA_NUMERO|CAUSA_AÑO
233878|997060|2025
233879|997061|2025
233880|997062|2025
233882|997063|2025
233886|997064|2025
233888|997065|2025
233890|997066|2025
233895|997067|2025
233898|997069|2025
233899|997070|2025
233902|997071|2025
233905|997072|2025
233907|997074|2025
233910|997075|2025
233913|997076|2025
233916|997078|2025
233920|997079|2025
233921|997080|2025
233925|997081|2025
233926|997082|2025
233927|997083|2025
233928|997084|2025
233929|997085|2025
233931|997086|2025
233932|997087|2025
233933|997088|2025
233938|997090|2025
233945|997092|2025
233947|997093|2025
233948|997094|2025
233950|997096|2025
233955|997097|2025
233959|997098|2025
233961|997100|2025
233962|997101|2025
233964|997102|2025
233965|997103|2025
233966|997104|2025
233967|997105|2025
233969|997106|2025
233974|997107|2025
233975|997108|2025
233976|997109|2025
233979|997111|2025
233980|997112|2025
233985|997114|2025
233988|997117|2025
233990|997118|2025
233991|997119|2025
233993|997121|2025
233995|997123|2025
233997|997125|2025
233999|997126|2025
234001|997127|2025
234002|997128|2025
234003|997129|2025
234004|997130|2025
234005|997131|2025
234006|997132|2025
234009|997133|2025
234012|997135|2025
234013|997136|2025
234015|997138|2025
234018|997139|2025
234019|997140|2025
234024|997142|2025
234025|997143|2025
234027|997144|2025
234031|997145|2025
234036|997146|2025
234037|997147|2025
234039|997148|2025
234040|997149|2025
234042|997151|2025
234044|997153|2025
234047|997155|2025
234049|997157|2025
234050|997158|2025
234051|997159|2025
234059|997160|2025
234065|997161|2025
234066|997162|2025
234071|997163|2025
234074|997164|2025
234075|997165|2025
234078|997166|2025
234079|997167|2025
234082|997168|2025
234085|997169|2025
234088|997170|2025
234089|997171|2025
234090|997172|2025
234093|997173|2025
234094|997174|2025
234095|997175|2025
234096|997176|2025
234097|997177|2025
234098|997178|2025
234100|997179|2025
234103|997180|2025
234104|997181|2025
234107|997182|2025
234109|997184|2025
234110|997185|2025
234112|997186|2025
234114|997187|2025
234116|997189|2025
234120|997190|2025
234124|997191|2025
234125|997192|2025
234128|997193|2025
234130|997194|2025
234131|997195|2025
234135|997196|2025
234137|997198|2025
234141|997199|2025
234142|997200|2025
234143|997201|2025
234146|997202|2025
234150|997204|2025
234152|997205|2025
234155|997207|2025
234156|997208|2025
234157|997209|2025
234159|997210|2025
234160|997211|2025
234162|997212|2025
234163|997213|2025
234164|997214|2025
234165|997215|2025
234169|997217|2025
234170|997218|2025
234174|997219|2025
234177|997220|2025
234182|997221|2025
234183|997222|2025
234184|997223|2025
234186|997224|2025
234194|997225|2025
234201|997226|2025
234204|997227|2025
234205|997228|2025
234207|997230|2025
234210|997231|2025
234213|997232|2025
234221|997234|2025
234222|997235|2025
234225|997236|2025
234226|997237|2025
234227|997238|2025
234228|997239|2025
234229|997240|2025
234231|997241|2025
234232|997242|2025
234235|997243|2025
234237|997245|2025
234240|997247|2025
234245|997250|2025
234248|997251|2025
234249|997252|2025
234250|997253|2025
234251|997254|2025
234254|997255|2025
234255|997256|2025
234257|997257|2025
234259|997258|2025
234262|997259|2025
234264|997261|2025
234265|997262|2025
234268|997264|2025
234271|997266|2025
234273|997267|2025
234274|997268|2025
234275|997269|2025
234276|997270|2025
234277|997271|2025
234280|997272|2025
234281|997273|2025
234284|997275|2025
234286|997276|2025
234287|997277|2025
234289|997278|2025
234291|997279|2025
234293|997280|2025
234295|997281|2025
234296|997282|2025
234307|997285|2025
234313|997286|2025
234315|997287|2025
234316|997288|2025
234319|997289|2025
234323|997291|2025
234325|997293|2025
234326|997294|2025
234327|997295|2025
234328|997296|2025
234330|997297|2025
234332|997298|2025
234336|997299|2025
234337|997300|2025
234344|997302|2025
234345|997303|2025
234347|997304|2025
234349|997305|2025
234350|997306|2025
234351|997307|2025
234353|997309|2025
234354|997310|2025
234358|997312|2025
234359|997313|2025
234360|997314|2025
234362|997315|2025
234364|997316|2025
234366|997317|2025
234373|997319|2025
234374|997320|2025
234376|997321|2025
234381|997323|2025
234387|997324|2025
234388|997325|2025
234389|997326|2025
234398|997327|2025
234399|997328|2025
234401|997329|2025
234402|997330|2025
234404|997331|2025
234405|997332|2025
234408|997333|2025
234411|997334|2025
234416|997335|2025
234417|997336|2025
234420|997337|2025
234421|997338|2025
234423|997339|2025
233051|996642|2025
233053|996643|2025
233056|996644|2025
233058|996646|2025
233060|996647|2025
233061|996648|2025
233063|996649|2025
233064|996650|2025
233066|996651|2025
233068|996652|2025
233071|996653|2025
233073|996654|2025
233074|996655|2025
233075|996656|2025
233079|996657|2025
233080|996658|2025
233086|996660|2025
233087|996661|2025
233097|996663|2025
233098|996664|2025
233099|996665|2025
233101|996666|2025
233102|996667|2025
233103|996668|2025
233108|996669|2025
233111|996670|2025
233112|996671|2025
233114|996672|2025
233115|996673|2025
233116|996674|2025
233124|996676|2025
233125|996677|2025
233128|996679|2025
233129|996680|2025
233131|996682|2025
233132|996683|2025
233133|996684|2025
233134|996685|2025
233136|996687|2025
233137|996688|2025
233138|996689|2025
233141|996692|2025
233142|996693|2025
233144|996694|2025
233145|996695|2025
233147|996696|2025
233148|996697|2025
233149|996698|2025
233150|996699|2025
233151|996700|2025
233153|996702|2025
233154|996703|2025
233157|996705|2025
233158|996706|2025
233160|996707|2025
233161|996708|2025
233162|996709|2025
233163|996710|2025
233164|996711|2025
233166|996713|2025
233172|996714|2025
233174|996715|2025
233177|996716|2025
233178|996717|2025
233180|996719|2025
233181|996720|2025
233185|996721|2025
233186|996722|2025
233187|996723|2025
233189|996724|2025
233195|996725|2025
233197|996726|2025
233198|996727|2025
233199|996728|2025
233201|996729|2025
233203|996730|2025
233205|996731|2025
233206|996732|2025
233211|996734|2025
233213|996736|2025
233215|996737|2025
233221|996738|2025
233222|996739|2025
233224|996740|2025
233226|996742|2025
233227|996743|2025
233234|996745|2025
233236|996746|2025
233237|996747|2025
233240|996748|2025
233241|996749|2025
233244|996750|2025
233245|996751|2025
233248|996752|2025
233249|996753|2025
233252|996754|2025
233257|996755|2025
233258|996756|2025
233259|996757|2025
233261|996759|2025
233264|996760|2025
233265|996761|2025
233266|996762|2025
233267|996763|2025
233269|996765|2025
