ACTA_ANIO|ACTA_NUMERO
2024|87537
2024|87663
2024|87746
2024|88024
2024|88058
2024|88063
2024|88289
2024|88444
2024|88512
2024|88521
2024|88524
2024|88564
2024|88771
2024|88923
2024|89009
2024|89193
2024|89274
2024|89286
2024|89299
2024|89370
2024|89536
2024|89622
2024|89710
2024|89780
2024|89798
2024|89846
2024|90034
2024|90097
2024|90270
2025|96476
2025|96580
2025|96631
2025|96644
2025|96657
2025|96768
2025|96770
2025|96811
2025|96864
2025|96888
2025|96903
2025|97073
2025|97087
2025|97102
2025|97444
2025|97534
2025|97613
2025|97631
2025|97641
2025|97661
2025|97713
2025|97877
2025|97905
2025|98112
2025|98176
2025|98363
2025|98500
2025|98515
2025|98777
2025|98819
2025|98825
2025|98909
2025|98962
2025|99011
2025|99013
2025|99039
2025|99086
2025|99285
2025|99314
2025|99407
2025|99472
2025|99592
2025|99670
2025|99729
2025|99775
2025|99808
2025|99878
2025|99910
2025|99997
2025|100047
2025|100161
2025|100181
2025|100261
2025|100270
2025|100277
2025|100283
2025|100535
2025|100567
2025|100690
2025|100706
2025|100713
2025|100803
2025|100838
2025|100894
2025|101012
2025|106942
2025|106997
2025|107178
2025|107327
2025|107814
2025|108208
2025|108530
2025|108675
2025|108758
2025|108763
2025|108769
2025|109043
2025|109177
2025|109283
2025|109352
2025|109502
2025|109503
2025|109525
2025|109695
2025|109803
2025|109821
2025|110233
2025|110509
2025|110688
2025|110729
2025|110739
2025|110812
2025|111089
2025|111152
2025|111214
2025|111286
2025|111344
2025|111356
2025|111486
2025|111598
2025|111744
2025|111746
2025|111770
2025|111772
2025|111797
2025|132823
2025|118144
2025|118159
2025|118284
2025|118325
2025|118573
2025|118596
2025|118825
2025|119119
2025|119194
2025|119362
2025|119396
2025|119677
2025|119838
2025|119979
2025|120109
2025|112059
2025|120312
2025|120446
2025|120893
2025|120937
2025|121013
2025|121156
2025|121242
2025|121291
2025|121521
2025|121543
2025|121697
2025|121823
2025|121831
2025|122019
2025|122179
2025|122220
2025|122386
2025|122444
2025|122791
2025|122799
2025|122959
2025|122973
2025|123082
2025|123237
2025|23819
2025|129464
2025|129607
2025|129625
2025|129819
2025|130010
2025|130018
2025|130058
2025|130189
2025|130549
2025|130626
2025|130640
2025|130738
2025|130850
2025|130856
2025|130904
2025|130906
2025|130964
2025|130994
2025|131155
2025|131165
2025|131206
2025|131246
2025|131441
2025|131611
2025|131641
2025|131668
2025|149231
2025|131884
2025|133929
2025|132359
2025|132373
2025|132395
2025|132422
2025|132542
2025|132677
2025|132725
2025|132878
2025|133033
2025|133165
2025|133252
2025|133379
2025|133439
2025|133633
2025|133778
2025|133801
2025|133804
2025|133805
2025|134002
2025|134021
2025|134379
2025|134568
2025|134742
2025|134886
2025|134907
2025|134991
2025|135072
2025|135203
2025|135279
2025|162907
2025|135362
2025|135586
2025|135782
2025|143547
2025|143583
2025|143618
2025|143771
2025|144068
2025|144108
2025|144121
2025|144122
2025|144671
2025|144771
2025|144782
2025|144862
2025|145038
2025|145069
2025|145079
2025|145207
2025|145350
2025|145412
2025|145433
2025|145641
2025|145840
2025|146148
2025|146278
2025|146393
2025|146610
2025|146919
2025|147250
2025|147294
2025|147415
2025|147469
2025|147527
2025|147585
2025|147646
2025|147867
2025|148126
2025|148174
2025|148243
2025|148408
2025|148442
2025|148486
2025|148526
2025|148553
2025|148602
2025|148758
2025|148819
2025|148835
2025|148891
2025|148919
2025|149087
2025|149108
2025|149217
2025|149473
2025|149710
2025|149844
2025|158823
2025|158926
2025|159174
2025|159490
2025|159555
2025|159682
2025|159689
2025|159750
2025|159770
2025|159784
2025|159872
2025|159888
2025|159977
2025|160348
2025|160429
2025|160461
2025|160524
2025|160612
2025|160759
2025|160796
2025|161028
2025|161104
2025|161118
2025|161319
2025|161471
2025|161479
2025|161749
2025|161818
2025|161823
2025|161898
2025|161933
2025|162051
2025|162160
2025|162280
2025|162415
2025|162625
2025|162844
2025|162854
2025|163173
2025|163228
2025|163231
